    playing_number  ,start_date  ,end_date 
31,2020-10-16,2023-02-18
23,2017-06-13,2023-01-15
10,2021-11-12,
41,2018-07-24,2023-12-13
46,2014-07-23,
57,2015-10-03,2022-12-22
24,2021-04-03,2023-06-24
9,2018-06-15,
27,2018-07-17,
54,2016-08-01,
46,2011-10-08,
91,2009-03-24,2023-11-18
77,2010-03-03,
9,2010-11-17,
87,2022-07-21,
88,2016-01-28,
46,2018-12-22,
91,2008-12-11,2023-10-18
23,2018-02-14,
78,2009-12-01,
94,2020-05-16,
67,2011-07-07,
10,2017-02-14,2023-05-23
73,2018-08-22,
37,2021-11-17,
67,2014-03-27,
10,2015-09-19,2023-04-16
34,2018-02-01,
14,2015-11-19,
55,2022-06-08,
68,2008-08-27,
41,2008-04-02,
48,2009-02-23,
71,2014-08-27,
83,2011-07-01,2023-09-12
32,2011-08-03,2023-12-09
64,2009-02-02,
99,2014-01-09,
78,2013-04-28,2023-11-02
73,2009-08-17,
23,2016-05-24,
67,2015-06-08,2023-01-14
28,2008-11-06,
7,2011-06-08,
29,2014-11-21,
65,2019-01-29,
44,2011-11-29,
15,2014-03-21,
45,2015-05-26,
91,2021-10-19,
44,2013-03-14,
9,2022-03-29,
88,2011-09-03,2023-11-21
46,2011-09-21,2023-02-26
81,2016-01-07,2023-09-08
49,2019-05-16,
54,2015-12-28,
6,2018-12-20,
2,2011-06-14,
64,2009-01-28,
35,2013-01-11,
19,2012-08-17,
9,2019-02-17,2023-11-20
50,2018-03-19,
38,2012-01-24,
44,2015-01-23,
90,2020-08-04,2023-03-21
82,2020-07-13,2023-09-16
20,2014-01-21,
97,2020-01-26,
39,2021-08-09,
98,2018-03-15,
70,2014-01-12,
79,2016-12-12,
80,2011-07-02,
23,2010-01-12,
30,2018-03-10,2023-01-11
18,2013-07-31,2023-04-12
8,2009-04-01,
50,2014-04-28,
84,2020-04-27,
70,2021-06-24,
80,2012-01-27,
70,2019-04-11,
85,2021-02-13,
78,2008-02-04,
30,2012-04-14,
80,2019-05-27,
75,2008-01-11,2023-11-16
10,2014-07-26,2023-11-29
31,2021-12-01,
45,2015-04-02,
7,2019-04-13,2023-01-01
80,2022-01-25,
50,2010-12-31,
10,2009-11-29,2023-07-03
38,2017-06-17,
25,2021-02-13,
94,2019-05-07,2023-11-19
67,2018-02-03,
16,2022-07-06,2023-10-23
13,2017-08-02,
78,2020-07-15,
25,2019-11-07,
92,2018-02-17,2023-10-29
6,2013-10-25,
72,2019-10-22,
48,2019-02-11,2023-12-04
47,2010-05-08,
36,2016-05-09,
85,2009-01-22,
8,2012-11-14,
63,2012-05-28,
85,2019-10-02,
67,2010-04-02,
63,2010-12-02,
77,2015-12-30,
1,2011-01-29,
10,2009-11-23,2023-04-23
64,2012-09-18,
71,2022-07-27,2023-07-07
72,2020-09-21,
33,2019-03-17,
58,2008-11-23,
65,2013-03-22,
4,2008-10-20,
42,2018-07-28,
40,2018-07-17,
47,2019-08-27,
23,2010-11-22,
1,2021-03-26,
51,2020-09-07,2023-02-09
5,2008-04-07,
45,2018-08-19,
10,2021-08-03,
96,2021-07-02,
37,2010-12-05,
7,2017-04-26,2023-05-12
30,2014-08-01,
35,2015-11-25,
26,2011-06-05,
9,2009-01-29,
76,2017-03-05,2023-07-13
61,2012-05-19,2023-07-15
21,2021-04-10,
52,2016-04-16,
23,2014-08-22,2023-03-05
85,2022-04-18,
11,2020-07-30,
71,2012-08-24,
44,2016-02-24,2023-12-05
22,2013-12-20,
71,2021-12-10,
47,2021-04-12,
13,2022-06-03,
70,2009-09-15,
79,2013-12-10,
28,2012-11-24,
11,2016-07-09,
18,2018-03-07,2022-12-16
83,2012-10-12,
93,2021-03-01,
13,2021-11-17,
60,2008-11-04,
22,2011-07-09,
61,2021-05-29,
87,2009-07-02,
74,2021-09-12,2023-03-26
35,2019-04-29,
3,2008-02-22,
50,2022-06-29,
32,2009-11-11,
51,2009-02-05,
24,2013-08-26,
30,2008-07-17,2023-09-13
49,2012-06-16,
22,2014-08-03,
57,2020-04-12,
17,2021-10-05,2023-05-29
71,2015-12-11,
88,2010-11-30,2023-03-23
86,2013-10-30,
14,2008-01-08,
66,2015-11-11,
57,2009-09-20,
48,2015-04-11,
6,2021-04-16,
8,2019-12-18,
46,2017-09-03,
54,2017-08-11,
79,2021-10-11,
78,2017-11-19,
1,2016-01-12,
79,2014-09-25,
34,2013-11-23,
65,2015-01-20,
48,2020-07-06,
89,2018-01-11,
33,2015-01-03,
92,2012-05-21,2023-04-13
80,2021-11-12,2023-02-22
17,2013-05-03,
51,2012-07-28,2023-07-03
60,2017-11-05,
33,2009-07-28,
31,2015-07-06,
68,2019-11-19,
17,2016-01-18,
7,2022-04-10,
58,2019-02-19,
74,2010-12-31,
81,2014-06-22,
79,2013-05-28,
64,2017-01-07,
72,2011-05-27,
8,2016-05-06,
79,2011-06-16,
36,2022-06-17,
90,2021-12-17,2023-09-02
83,2016-11-10,
50,2014-07-06,2023-10-26
57,2018-10-09,
59,2013-08-23,
81,2019-03-09,
80,2015-09-14,
62,2009-09-28,2023-11-29
5,2016-01-21,2023-07-11
48,2013-04-09,
6,2022-07-03,2023-12-25
17,2022-01-16,
90,2017-05-01,2023-02-23
80,2019-08-12,
93,2012-08-20,
62,2020-05-04,
46,2015-05-06,
63,2014-05-30,
74,2017-02-09,
89,2017-07-15,
33,2009-04-13,2023-04-13
63,2016-05-31,2023-06-20
68,2017-01-07,
32,2021-06-14,
62,2019-12-12,
50,2014-04-06,
84,2017-11-22,2023-04-04
38,2009-07-09,
27,2014-02-09,2022-12-29
57,2021-01-01,
45,2018-01-24,
34,2017-06-02,2023-12-06
16,2013-11-11,
34,2016-10-24,
54,2018-06-20,
15,2019-10-17,
92,2016-07-10,
52,2014-10-02,
86,2015-09-17,
20,2009-10-25,2023-04-28
41,2012-07-24,2023-11-21
87,2012-02-13,
95,2014-03-05,
66,2018-03-24,
47,2010-10-30,
94,2011-12-18,
36,2020-08-07,
85,2014-04-05,
26,2021-02-15,
1,2015-12-22,
1,2020-06-10,
70,2021-08-06,
53,2008-07-21,2023-03-28
39,2013-03-01,
65,2015-03-31,
26,2020-09-02,
20,2010-02-21,
79,2013-07-22,
48,2014-07-03,
48,2021-12-22,
