id_ligue ,id_referee  ,id_home_team ,id_away_team ,   name_of_stadium ,match_date ,match_time 
8,926,49,44,17,2023-04-30,11:57:36
8,569,41,47,52,2022-11-09,14:02:12
8,724,49,46,36,2023-04-20,12:19:56
8,524,39,40,24,2023-03-12,13:07:58
8,526,46,52,2,2023-03-26,14:29:00
8,780,53,44,57,2022-12-18,10:25:13
8,103,46,44,78,2023-05-28,13:02:47
8,588,54,50,12,2023-02-22,10:54:15
8,766,50,51,18,2023-01-10,16:34:48
8,320,54,44,65,2022-09-27,16:53:14
8,712,47,52,70,2022-11-27,11:50:12
8,685,46,51,33,2023-02-01,14:57:54
8,389,39,39,85,2023-02-13,18:25:26
8,944,48,41,2,2022-08-24,12:08:05
8,988,52,49,38,2023-01-14,13:28:31
8,260,47,49,8,2023-01-16,17:29:28
8,169,42,40,61,2023-03-29,14:59:25
8,437,41,54,87,2022-11-27,11:36:41
8,509,54,45,53,2022-11-01,12:47:36
8,551,46,54,52,2023-03-11,9:37:33
8,832,50,46,76,2023-01-15,10:06:26
8,111,52,46,86,2022-11-20,14:07:17
8,467,49,52,85,2023-04-12,11:47:47
8,589,52,40,86,2023-01-25,14:47:07
8,500,51,45,69,2022-08-16,11:58:54
8,290,40,47,83,2022-12-30,20:06:22
8,149,41,47,45,2023-05-14,16:39:21
8,8,47,43,42,2023-03-02,17:55:01
8,81,43,44,59,2023-02-27,10:43:14
8,232,54,48,79,2022-11-10,12:57:33
8,488,40,41,57,2023-03-30,14:11:48
8,877,42,51,20,2023-03-14,11:50:09
8,149,51,54,56,2022-11-27,13:11:51
8,691,39,48,42,2022-12-04,17:03:55
8,368,52,54,81,2022-09-24,21:29:27
8,71,48,48,20,2023-02-08,19:51:07
8,962,48,51,18,2023-02-28,21:19:25
8,116,41,40,43,2023-02-20,19:14:29
8,625,53,41,63,2023-02-19,14:27:57
8,17,41,46,74,2022-08-26,17:58:53
8,726,51,39,44,2022-10-26,20:34:11
8,904,47,41,80,2022-11-08,20:41:22
8,450,44,51,63,2023-03-07,17:33:34
8,836,41,46,36,2023-02-21,10:43:11
8,74,42,46,28,2022-09-11,15:11:34
8,24,50,42,37,2023-04-02,14:21:45
8,45,48,39,42,2023-02-19,14:40:07
