    playing_number  ,start_date  ,end_date 
88,2018-01-22,2023-03-11
56,2015-12-29,
30,2019-07-18,
65,2009-04-20,
17,2019-09-25,
63,2016-05-18,
41,2016-05-24,
37,2011-08-20,
78,2014-04-16,
16,2015-09-23,
81,2012-07-27,2023-06-14
31,2010-07-30,
1,2015-09-09,
6,2014-08-29,2022-12-14
38,2008-09-02,
94,2017-12-25,
44,2021-04-02,2023-09-18
82,2013-04-03,
49,2017-04-26,
94,2008-08-18,2023-02-08
13,2008-12-21,2023-09-13
5,2010-11-05,
19,2018-12-23,
15,2015-09-30,
99,2016-02-23,2023-07-09
52,2008-03-02,2023-01-20
25,2017-03-07,
79,2018-01-23,2023-05-21
69,2013-12-04,
54,2011-04-19,
85,2012-12-05,
95,2008-07-05,
53,2013-01-02,
22,2020-01-21,
78,2018-02-20,2023-03-18
41,2020-01-06,
89,2013-08-15,
99,2009-01-09,
6,2022-03-20,
12,2015-10-25,
52,2009-01-27,2023-01-09
71,2008-10-21,
80,2013-02-06,2023-06-12
42,2013-04-26,2023-09-23
98,2018-07-16,
22,2012-05-18,
28,2018-11-26,2023-03-05
71,2020-04-11,2023-04-29
76,2016-10-08,2023-01-28
90,2015-06-13,2023-02-24
24,2022-05-15,
53,2022-06-10,
16,2019-11-25,
27,2008-09-28,
68,2019-09-06,2023-04-06
88,2008-05-31,
6,2011-10-27,
76,2017-12-04,
89,2008-09-24,
38,2020-07-14,
11,2022-03-01,2023-10-24
48,2013-06-15,
23,2011-05-20,
59,2013-12-21,
48,2015-04-10,
99,2008-07-10,
37,2010-06-18,
51,2019-03-09,2023-07-20
81,2022-03-03,2023-04-02
17,2015-05-03,
67,2022-07-05,
74,2016-11-23,2023-08-09
18,2019-03-10,
58,2009-09-27,2023-01-28
14,2012-05-10,
65,2009-01-31,2022-12-22
14,2017-06-26,2023-06-04
75,2021-12-29,
87,2016-04-19,
81,2010-08-29,
86,2011-12-28,2023-11-25
72,2008-09-15,2023-08-23
61,2013-01-15,
83,2020-03-19,2023-09-23
40,2019-08-20,2023-05-15
90,2013-09-13,2023-06-18
54,2021-12-16,
9,2009-08-07,
31,2016-04-30,2023-12-04
76,2019-07-18,
88,2016-03-11,
64,2013-04-06,
30,2017-02-01,
60,2009-04-04,
28,2013-12-14,
65,2016-08-18,
99,2021-11-29,2023-10-10
87,2021-12-19,
23,2020-05-06,
24,2014-06-10,
9,2016-06-26,2023-05-05
90,2014-09-24,2023-04-08
43,2013-09-19,
20,2013-10-26,
35,2009-08-25,
9,2008-10-28,
60,2012-08-19,2023-10-18
91,2022-08-05,
68,2012-02-23,
98,2012-12-18,2022-12-29
40,2009-09-22,2023-04-14
39,2020-08-07,2023-10-24
37,2010-04-14,
65,2020-12-21,2023-11-18
30,2018-04-23,
33,2014-05-14,2023-02-26
37,2018-02-19,2023-03-28
41,2014-08-05,
31,2011-01-20,
42,2022-02-26,
63,2009-08-27,
46,2018-10-12,
87,2015-06-10,
87,2016-05-26,
76,2012-09-05,2023-07-20
31,2020-05-23,
85,2014-04-16,
29,2011-02-10,
9,2011-01-16,
33,2010-12-07,2023-10-03
1,2021-03-01,
52,2018-10-27,
24,2016-08-09,
82,2009-09-14,
87,2008-04-19,
32,2017-05-09,
14,2009-03-27,
18,2010-03-01,2023-08-05
66,2008-05-01,
98,2008-09-25,2023-06-15
31,2022-02-22,
87,2013-06-16,
21,2008-12-23,
61,2016-08-18,2023-04-15
17,2018-12-25,
32,2008-06-29,
21,2017-11-14,2023-04-30
76,2014-08-21,
27,2008-02-27,
29,2011-08-03,
76,2017-04-22,2023-09-27
11,2010-02-03,2023-04-08
11,2020-10-21,
79,2010-07-02,
73,2012-01-06,2023-11-02
8,2015-08-24,2023-08-27
14,2020-10-25,
87,2015-02-26,
17,2008-05-09,2023-03-26
89,2015-05-26,
68,2019-05-28,2023-07-06
47,2013-07-16,
42,2017-01-10,2023-01-11
4,2014-08-23,2023-05-24
29,2017-01-21,
30,2020-07-07,
2,2008-06-24,
55,2010-11-13,
59,2015-05-23,
56,2011-01-20,
40,2017-08-07,2023-11-29
99,2012-01-12,
97,2021-06-22,2023-05-07
89,2016-01-07,
38,2009-10-21,2023-12-20
2,2010-08-12,
45,2012-01-17,2023-08-23
42,2011-07-12,
35,2014-12-12,
77,2019-06-06,
36,2010-11-30,
55,2012-06-03,
18,2015-11-17,2023-02-28
99,2014-02-26,2023-10-16
81,2012-12-21,
54,2016-07-27,
15,2012-10-09,
26,2019-11-13,2023-06-12
88,2019-06-13,
28,2018-05-08,2023-04-28
54,2015-06-16,
76,2015-06-05,2023-11-11
48,2022-07-22,
30,2012-03-08,
25,2018-02-15,
33,2013-08-09,
73,2018-06-29,
72,2015-07-29,
79,2013-08-04,2023-12-24
46,2011-04-03,
83,2012-01-24,2023-08-18
91,2020-11-06,
92,2019-10-17,
92,2021-01-21,
4,2020-04-21,
19,2021-10-24,
95,2020-11-05,
25,2013-11-16,
71,2012-10-25,2023-09-18
72,2016-01-10,2023-05-06
20,2015-03-18,
81,2009-12-04,
4,2016-07-06,2023-05-19
22,2018-08-16,2023-05-11
72,2014-12-27,
69,2010-11-04,2023-01-05
48,2018-04-07,
76,2019-02-03,
31,2016-04-23,
31,2015-01-30,
13,2019-09-07,
93,2016-04-11,
55,2022-01-18,2023-06-10
66,2014-06-11,2023-01-15
79,2016-01-30,
