id_ligue ;name_of_team ;city_of_issue ;year_of_issue ;web_site ;email
6;Phoenix Queens;Kyiv;2015-09-30;http://stumbleupon.com;qellicombe0@barnesandnoble.com
6;Dynamo Divas;Kharkiv;1992-11-17;https://ebay.com;acours1@oracle.com
6;Rising Roses FC;Odesa;1978-07-11;https://technorati.com;gwhaley2@omniture.com
6;Elite Empresses;Dnipro;1967-07-20;http://unesco.org;ashimmans3@trellian.com
6;Stellar Sirens;Lviv;1986-02-20;http://xing.com;nmanntschke4@edublogs.org
6;Galaxy Goddesses;Zaporizhzhia;2008-12-03;http://wikispaces.com;fmalcolmson5@upenn.edu
6;Thunder Thistles;Kryvyi Rih;1985-10-27;http://tmall.com;wmankor6@wikia.com
6;Swift Serenity FC;Mykolaiv;1972-10-31;https://free.fr;nwrey7@e-recht24.de
6;Nova Nymphs;Mariupol;1968-11-20;https://boston.com;ohightown8@1und1.de
6;Blaze Blossoms;Luhansk;1980-02-05;https://zdnet.com;kseth9@naver.com
6;Eclipse Enchantresses;Sevastopol;2004-10-10;https://japanpost.jp;wamerya@stumbleupon.com
6;Quantum Queens;Vinnytsia;1982-11-23;https://blogs.com;lpaveyb@surveymonkey.com
6;Starlet Scepters;Khmelnytskyi;1966-05-07;http://tiny.cc;fmussallic@studiopress.com
6;Velocity Violets;Chernivtsi;2013-04-19;https://phoca.cz;cewand@t-online.de
6;Phoenix Femme Fatales;Ivano-Frankivsk;2003-08-13;http://topsy.com;ageille@vkontakte.ru
7;Radiant Roses;Ternopil;1972-09-11;http://amazon.de;valdrickf@noaa.gov
7;Dynamo Damsels;Sumy;1985-03-29;https://bizjournals.com;geickeg@wikia.com
7;Apex Angels;Poltava;2011-10-15;https://google.fr;hbaseh@sciencedirect.com
7;Future Flare Females;Rivne;1976-07-24;http://drupal.org;xlorrawayi@mapquest.com
7;Quantum Queenpins;Zhytomyr;2012-04-09;http://businessinsider.com;landreixj@ameblo.jp
7;Dynamo Delight;Kyiv;1970-09-15;http://oaic.gov.au;jlandesk@macromedia.com
7;Stellar Starlets;Kharkiv;2016-04-09;https://skyrock.com;gdonaherl@time.com
7;Alpha Amazons;Odesa;1993-11-21;http://fda.gov;rletsonm@mozilla.org
7;Infinity Icons;Dnipro;2000-03-24;https://goodreads.com;bnormanvilln@ihg.com
7;Dynamo Dazzle;Lviv;2009-02-22;http://vinaora.com;cpovallo@accuweather.com
7;Rising Radiance FC;Zaporizhzhia;2005-02-14;https://nytimes.com;iflacknellp@eventbrite.com
