id_ligue ;name_of_team ;city_of_issue ;year_of_issue ;web_site ;email
8;Youth Dynamos;Kyiv;1996-12-22;http://drupal.org;acromley0@pen.io
8;Rising Stars FC;Kharkiv;2003-07-28;http://wired.com;ebartholat1@paypal.com
8;Future Legends United;Odesa;2006-09-19;https://1688.com;eroll2@vk.com
8;Junior Titans;Dnipro;2010-07-07;https://mapquest.com;bdonaldson3@dell.com
8;Dynamo Juniors;Lviv;1991-01-03;http://ibm.com;mantham4@cbsnews.com
8;Phoenix Youth;Zaporizhzhia;2018-07-08;http://addthis.com;upauley5@topsy.com
8;Talon Talents;Kryvyi Rih;1994-07-31;https://discuz.net;sstollery6@craigslist.org
8;Elite Prodigies;Mykolaiv;1978-07-16;https://walmart.com;fbettis7@opensource.org
8;Junior Mavericks;Mariupol;1975-07-01;https://washington.edu;jbest8@canalblog.com
8;Galaxy Youth;Luhansk;1982-05-29;https://dion.ne.jp;cdonan9@flickr.com
8;Youth Prowess FC;Sevastopol;1977-01-02;https://salon.com;psegara@tuttocitta.it
8;Thunder Strikers;Vinnytsia;1991-11-04;https://dailymail.co.uk;diacobettob@wikispaces.com
8;Swift Sparks United;Khmelnytskyi;2016-09-19;https://constantcontact.com;dcastelainc@csmonitor.com
8;Nova Young Guns;Chernivtsi;1981-01-18;https://canalblog.com;apickwelld@utexas.edu
8;Blaze Youth FC;Ivano-Frankivsk;2017-04-07;https://reuters.com;ridae@usnews.com
8;Eclipse Rising;Ternopil;2020-08-05;https://columbia.edu;fciccottinif@oaic.gov.au
9;Quantum Quasars;Sumy;1998-11-04;http://omniture.com;vtaxg@163.com
9;Young Talisman;Poltava;2019-08-30;https://icq.com;lbeevorsh@yellowpages.com
9;Stellar Juniors;Rivne;2010-12-14;https://t.co;lbotgeri@gravatar.com
9;Dynamo Sparks;Zhytomyr;1975-09-25;http://mozilla.com;kdelorenzoj@privacy.gov.au
9;Velocity Vanguard;Kyiv;1996-06-15;https://opensource.org;mcritchleyk@shareasale.com
9;Phoenix Rising Juniors;Kharkiv;2000-11-15;https://va.gov;rrobbeyl@jimdo.com
9;Young Centurions;Odesa;2007-02-21;http://rambler.ru;qaslamm@whitehouse.gov
9;Infinity Colts;Dnipro;2009-09-23;https://bigcartel.com;hvidlocn@studiopress.com
9;Dynamo Cubz;Lviv;1995-12-25;https://tumblr.com;jrobbso@yandex.ru
9;Stellar Rising FC;Zaporizhzhia;1988-07-19;https://sourceforge.net;elitchfieldp@naver.com
9;Apex Juniors;Kryvyi Rih;1983-09-11;http://posterous.com;alukianovq@google.co.jp
9;Future Flames;Mykolaiv;2000-02-02;http://cnet.com;acrehanr@cpanel.net
9;Quantum Youth Force;Mariupol;2016-08-09;http://gnu.org;kdonnellys@gnu.org
9;Dynamo Rising Stars;Luhansk;1981-08-19;https://pagesperso-orange.fr;rbuttlert@google.fr
9;Alpha Ascents FC;Sevastopol;1998-04-21;http://zimbio.com;ndeeveyu@opensource.org
